position_latitude,position_longitude,date,year,month
28.83,-89.44333333333333,1990-06-30,1990,6
61.95,5.1,1990-06-19,1990,6
61.95,5.1,1990-06-19,1990,6
66.83333333333333,13.266666666666667,1990-06-08,1990,6
66.83333333333333,13.266666666666667,1990-06-08,1990,6
34.25833,140.4,1990-06-07,1990,6
34.25833,140.4,1990-06-07,1990,6
60.329166666666666,5.2,1990-06-04,1990,6
60.329166666666666,5.2,1990-06-04,1990,6
70.65,23.451333333333334,1990-06-01,1990,6
51.21666666666667,4.416666666666667,1990-05-24,1990,5
51.21666666666667,4.416666666666667,1990-05-24,1990,5
62.44233333333333,6.067666666666667,1990-05-11,1990,5
62.44233333333333,6.067666666666667,1990-05-11,1990,5
60.175,5.566666666666666,1990-05-07,1990,5
60.175,5.566666666666666,1990-05-07,1990,5
-32.75,-72.3,1990-04-10,1990,4
-32.75,-72.3,1990-04-10,1990,4
53.553,4.918666666666667,1990-04-09,1990,4
53.553,4.918666666666667,1990-04-09,1990,4
60.638333333333335,5.233333333333333,1990-03-27,1990,3
60.638333333333335,5.233333333333333,1990-03-27,1990,3
56.8,3.283333333333333,1990-03-17,1990,3
56.8,3.283333333333333,1990-03-17,1990,3
56.8,3.283333333333333,1990-03-17,1990,3
51.45,0.4,1990-01-25,1990,1
66.03916666666667,12.7175,1989-12-27,1989,12
59.916666666666664,10.75,1989-12-19,1989,12
59.916666666666664,10.75,1989-12-19,1989,12
34.13333333333333,128.95,1989-11-24,1989,11
34.13333333333333,128.95,1989-11-24,1989,11
51.916666666666664,4.416666666666667,1989-11-17,1989,11
51.916666666666664,4.416666666666667,1989-11-17,1989,11
68.90116666666667,16.384666666666668,1989-11-15,1989,11
68.90116666666667,16.384666666666668,1989-11-15,1989,11
68.5025,15.104166666666666,1989-11-13,1989,11
68.5025,15.104166666666666,1989-11-13,1989,11
60.766666666666666,3.400333333333333,1989-11-05,1989,11
58.858333333333334,5.756666666666667,1989-10-29,1989,10
58.858333333333334,5.756666666666667,1989-10-29,1989,10
59.229,10.521333333333333,1989-10-26,1989,10
66.0175,12.634,1989-10-26,1989,10
66.0175,12.634,1989-10-26,1989,10
59.229,10.521333333333333,1989-10-26,1989,10
59.016666666666666,10.616666666666667,1989-10-09,1989,10
59.016666666666666,10.616666666666667,1989-10-09,1989,10
30.25,32.5,1989-09-21,1989,9
68.8175,15.6005,1989-09-16,1989,9
68.8175,15.6005,1989-09-16,1989,9
28.653333333333332,-93.6,1989-09-14,1989,9
28.653333333333332,-93.6,1989-09-14,1989,9
55.627,12.700666666666667,1989-08-19,1989,8
55.627,12.700666666666667,1989-08-19,1989,8
70.97466666666666,25.971666666666668,1989-07-25,1989,7
70.97466666666666,25.971666666666668,1989-07-25,1989,7
